x,noisy,smoothed
5.979899497487437543e+00,-1.988825105182811803e-01,-2.376193111499042276e-01
6.030150753768844574e+00,-4.486891427346198502e-02,-2.098535393372178981e-01
6.080402010050251604e+00,-2.038950142471756544e-01,-1.756156146293126608e-01
6.130653266331658635e+00,2.104414943650295688e-03,-1.343086091366471890e-01
6.180904522613065666e+00,-3.446174426644767474e-01,-8.493998853485393297e-02
6.231155778894472697e+00,-2.766498473529586111e-01,-2.686630798207080562e-02
6.281407035175879727e+00,1.498897796939054616e-01,3.894221350151818445e-02
6.331658291457286758e+00,1.868790297583686755e-01,1.094731156061254651e-01
6.381909547738693789e+00,1.355333768564011554e-01,1.802963241304810782e-01
6.432160804020100819e+00,3.303107214592052032e-01,2.470198944583956169e-01
6.482412060301507850e+00,4.904370539037103960e-01,3.066478697488166927e-01
6.532663316582914881e+00,1.269514666491917132e-01,3.582119653057110331e-01
6.582914572864321912e+00,6.836175039690342015e-01,4.027820099318378255e-01
6.633165829145728942e+00,4.401932409809003466e-01,4.428298514464180657e-01
6.683417085427135973e+00,3.359699323611467503e-01,4.812993076713341090e-01
6.733668341708543004e+00,5.487360623957331374e-01,5.203610343247812020e-01
6.783919597989950034e+00,3.874805621424178281e-01,5.604303310420070128e-01
6.834170854271357065e+00,7.997153980324259726e-01,5.999591801208605801e-01
6.884422110552764096e+00,5.165171594577200320e-01,6.361375246320273291e-01
6.934673366834171127e+00,8.515144821016996657e-01,6.663307139438306992e-01
6.984924623115578157e+00,9.015053531141132837e-01,6.893474572065843020e-01
7.035175879396985188e+00,5.418874175864695220e-01,7.057594340437787217e-01
7.085427135678392219e+00,7.065156279851182441e-01,7.172913720075354549e-01
7.135678391959799249e+00,5.557917493734370051e-01,7.258680886713541058e-01
7.185929648241206280e+00,9.785617693425293639e-01,7.333112187561851014e-01
7.236180904522613311e+00,7.569048194550760389e-01,7.417202814704281222e-01
7.286432160804020342e+00,7.869618358031207350e-01,7.539281149298546758e-01
7.336683417085427372e+00,6.664481154579053879e-01,7.728741327899950608e-01
7.386934673366834403e+00,4.634293656901878888e-01,7.999894096351420902e-01
7.437185929648241434e+00,7.559513074035389968e-01,8.336184804310923235e-01
7.487437185929648464e+00,1.062231354873479416e+00,8.688598835754791638e-01
7.537688442211055495e+00,1.098225155724498636e+00,8.995403001373994956e-01
7.587939698492462526e+00,1.076442672389705590e+00,9.210724175244469070e-01
7.638190954773869557e+00,8.407581462348387991e-01,9.325294901465364106e-01
7.688442211055276587e+00,1.129492635323603444e+00,9.365812563119388923e-01
7.738693467336683618e+00,7.182835081331089278e-01,9.374524832636161875e-01
7.788944723618090649e+00,7.308532155465328195e-01,9.383981929287367185e-01
7.839195979899497679e+00,1.011023960419934253e+00,9.401478716639593003e-01
7.889447236180904710e+00,1.175803844433176426e+00,9.412324121592222648e-01
7.939698492462311741e+00,1.001294226944557497e+00,9.395603829112303407e-01
7.989949748743718771e+00,7.378003765104008682e-01,9.339966300908583152e-01
8.040201005025126690e+00,1.110353588052083840e+00,9.250481056371837596e-01
8.090452261306532833e+00,8.952241700869779661e-01,9.143035041191763801e-01
8.140703517587940752e+00,7.305016558614915168e-01,9.032798735332182583e-01
8.190954773869346894e+00,9.842415200352081506e-01,8.924197111100790059e-01
8.241206030150754813e+00,8.435326481506266738e-01,8.807591215552822428e-01
8.291457286432160956e+00,9.201072033784790660e-01,8.664575354245940275e-01
8.341708542713568875e+00,8.699974869380079356e-01,8.477255586598267945e-01
8.391959798994975017e+00,1.009583054534070712e+00,8.237150237678496634e-01
8.442211055276382936e+00,8.145778576565287921e-01,7.947768813832657431e-01
8.492462311557789079e+00,3.778079111030553383e-01,7.621365627440102042e-01
8.542713567839196998e+00,1.096729424005282283e+00,7.272944482101053598e-01
8.592964824120603140e+00,6.485748915284326177e-01,6.916249141958568103e-01
8.643216080402011059e+00,5.712101648987473190e-01,6.561542274897986804e-01
8.693467336683417201e+00,6.368366494067949635e-01,6.215600206392677407e-01
8.743718592964825120e+00,5.250487402931036662e-01,5.879510961689313753e-01
8.793969849246231263e+00,6.493004469293652825e-01,5.545550391768733212e-01
8.844221105527639182e+00,3.944641690211415086e-01,5.197392385594643560e-01
8.894472361809045324e+00,5.638783918784404658e-01,4.815678871506674508e-01
8.944723618090453243e+00,5.715644710009467611e-01,4.388246146197707920e-01
8.994974874371859386e+00,3.898937329350062875e-01,3.920932538239057519e-01
9.045226130653267305e+00,4.583213636943314628e-01,3.440315367712776240e-01
9.095477386934673447e+00,2.150020566458040183e-01,2.984980135710050275e-01
9.145728643216081366e+00,-1.825951963197494643e-01,2.586799384597449070e-01
9.195979899497487509e+00,5.301089223859455357e-01,2.251420240133359396e-01
9.246231155778895427e+00,5.040901748235043778e-03,1.950399890200525954e-01
9.296482412060301570e+00,2.113145431798512663e-01,1.628411930261337293e-01
9.346733668341709489e+00,3.609348233828243990e-01,1.224877711338173969e-01
9.396984924623115631e+00,1.694605927032251935e-01,6.990231997633836181e-02
9.447236180904523550e+00,1.063156961083351754e-01,4.680259848804099905e-03
9.497487437185929693e+00,-1.190551237780835409e-02,-6.971312442050944802e-02
9.547738693467337612e+00,-3.156771478336632963e-01,-1.473497241944558556e-01
9.597989949748743754e+00,-2.487670808650434273e-01,-2.220687513600840546e-01
9.648241206030151673e+00,-4.093114689766785275e-01,-2.894198427157321785e-01
9.698492462311557816e+00,-5.308301691213845874e-01,-3.473986203419375807e-01
9.748743718592965735e+00,-1.833659168657847116e-01,-3.958083024998592658e-01
9.798994974874371877e+00,-3.493239252342915657e-01,-4.350305572826856926e-01
9.849246231155779796e+00,-6.764076384499677630e-01,-4.652865208462965141e-01
9.899497487437185939e+00,-6.396523007516976556e-01,-4.867177930955285392e-01
9.949748743718593857e+00,-6.345316356741722563e-01,-4.999560419923806398e-01
1.000000000000000000e+01,-3.329719256525381921e-01,-5.061133293002764155e-01
